s,match
http://nomisma.org/id/harpasa,http://pleiades.stoa.org/places/599637
http://nomisma.org/id/apollonia_salbace,http://pleiades.stoa.org/places/638757
http://nomisma.org/id/ituci,http://pleiades.stoa.org/places/256232
http://nomisma.org/id/urso,http://pleiades.stoa.org/places/256503
http://nomisma.org/id/arcesine,http://pleiades.stoa.org/places/599517
http://nomisma.org/id/leptis_minor,http://pleiades.stoa.org/places/324767
http://nomisma.org/id/tarraco,http://pleiades.stoa.org/places/246349
http://nomisma.org/id/calagurris_julia,http://pleiades.stoa.org/places/246279
http://nomisma.org/id/mothone,http://pleiades.stoa.org/places/570483
http://nomisma.org/id/barcino,http://pleiades.stoa.org/places/246343
http://nomisma.org/id/aphrodisias_cilicia,http://pleiades.stoa.org/places/648565
http://nomisma.org/id/dipo,http://pleiades.stoa.org/places/260543
http://nomisma.org/id/oenoe,http://pleiades.stoa.org/places/599836
http://nomisma.org/id/grynium,http://pleiades.stoa.org/places/550555
http://nomisma.org/id/thurium,http://pleiades.stoa.org/places/452457
http://nomisma.org/id/histiaea,http://pleiades.stoa.org/places/540817
http://nomisma.org/id/byblus,http://pleiades.stoa.org/places/668216
http://nomisma.org/id/irippo,http://pleiades.stoa.org/places/256229
http://nomisma.org/id/hierocaesareia,http://pleiades.stoa.org/places/550578
http://nomisma.org/id/viminacium,http://pleiades.stoa.org/places/207549
http://nomisma.org/id/orthosia_phoenicia,http://pleiades.stoa.org/places/668325
http://nomisma.org/id/scythopolis,http://pleiades.stoa.org/places/678378
http://nomisma.org/id/eleusis,http://pleiades.stoa.org/places/579920
http://nomisma.org/id/larinum,http://pleiades.stoa.org/places/442629
http://nomisma.org/id/elateia,http://pleiades.stoa.org/places/540755
http://nomisma.org/id/orthe,http://pleiades.stoa.org/places/540992
http://nomisma.org/id/barskunes,http://pleiades.stoa.org/places/252937
http://nomisma.org/id/siris,http://pleiades.stoa.org/places/452450
http://nomisma.org/id/bostra,http://pleiades.stoa.org/places/678073
http://nomisma.org/id/thebae,http://pleiades.stoa.org/places/541137
http://nomisma.org/id/pitane,http://pleiades.stoa.org/places/550833
http://nomisma.org/id/copae,http://pleiades.stoa.org/places/540878
http://nomisma.org/id/aspendus,http://pleiades.stoa.org/places/638776
http://nomisma.org/id/lebedus,http://pleiades.stoa.org/places/570182
http://nomisma.org/id/chalcidian_league,http://pleiades.stoa.org/places/491678
http://nomisma.org/id/dora,http://pleiades.stoa.org/places/678121
http://nomisma.org/id/eleutherna,http://pleiades.stoa.org/places/589772
http://nomisma.org/id/celenderis,http://pleiades.stoa.org/places/648596
http://nomisma.org/id/lipara,http://pleiades.stoa.org/places/462283
http://nomisma.org/id/dardanus,http://pleiades.stoa.org/places/501393
http://nomisma.org/id/cisthene,http://pleiades.stoa.org/places/550648
http://nomisma.org/id/sacili,http://pleiades.stoa.org/places/266017
http://nomisma.org/id/tragilus,http://pleiades.stoa.org/places/501648
http://nomisma.org/id/corone,http://pleiades.stoa.org/places/570125
http://nomisma.org/id/epidaurus,http://pleiades.stoa.org/places/570228
http://nomisma.org/id/bizya,http://pleiades.stoa.org/places/511190
http://nomisma.org/id/croton,http://pleiades.stoa.org/places/452317
http://nomisma.org/id/dipaea-achaean_league,http://pleiades.stoa.org/places/570199
http://nomisma.org/id/olympus,http://pleiades.stoa.org/places/639017
http://nomisma.org/id/canatha,http://pleiades.stoa.org/places/678082
http://nomisma.org/id/amblada,http://pleiades.stoa.org/places/638741
http://nomisma.org/id/priansus,http://pleiades.stoa.org/places/590013
http://nomisma.org/id/julia_traducta,http://pleiades.stoa.org/places/256235
http://nomisma.org/id/pharnaceia,http://pleiades.stoa.org/places/857185
http://nomisma.org/id/dalisandus,http://pleiades.stoa.org/places/652334
http://nomisma.org/id/samothrace,http://pleiades.stoa.org/places/501596
http://nomisma.org/id/belikio,http://pleiades.stoa.org/places/252939
http://nomisma.org/id/stectorium,http://pleiades.stoa.org/places/609535
http://nomisma.org/id/ebura_cerealis,http://pleiades.stoa.org/places/260546
http://nomisma.org/id/nicaea_lydia,http://pleiades.stoa.org/places/550775
http://nomisma.org/id/sergentium,http://pleiades.stoa.org/places/465990
http://nomisma.org/id/bursau,http://pleiades.stoa.org/places/246261
http://nomisma.org/id/arsaos,http://pleiades.stoa.org/places/252934
http://nomisma.org/id/hippus,http://pleiades.stoa.org/places/678185
http://nomisma.org/id/proni,http://pleiades.stoa.org/places/531074
http://nomisma.org/id/eccarra,http://pleiades.stoa.org/places/540752
http://nomisma.org/id/iltirta,http://pleiades.stoa.org/places/246431
http://nomisma.org/id/alia,http://pleiades.stoa.org/places/609298
http://nomisma.org/id/halicarnassus,http://pleiades.stoa.org/places/599636
http://nomisma.org/id/athamanes,http://pleiades.stoa.org/places/540676
http://nomisma.org/id/theisoa,http://pleiades.stoa.org/places/570720
http://nomisma.org/id/isinda,http://pleiades.stoa.org/places/638872
http://nomisma.org/id/phistelia,http://pleiades.stoa.org/places/438737
http://nomisma.org/id/colonia_patricia,http://pleiades.stoa.org/places/256128
http://nomisma.org/id/dyme,http://pleiades.stoa.org/places/570205
http://nomisma.org/id/kese,http://pleiades.stoa.org/places/246452
http://nomisma.org/id/cyzicus,http://pleiades.stoa.org/places/511218
http://nomisma.org/id/laus,http://pleiades.stoa.org/places/452361
http://nomisma.org/id/baris,http://pleiades.stoa.org/places/638790
http://nomisma.org/id/nicopolis_epirus,http://pleiades.stoa.org/places/531013
http://nomisma.org/id/maeonia,http://pleiades.stoa.org/places/550709
http://nomisma.org/id/peumata,http://pleiades.stoa.org/places/541030
http://nomisma.org/id/lampsacus,http://pleiades.stoa.org/places/501570
http://nomisma.org/id/pompeiopolis,http://pleiades.stoa.org/places/845041
http://nomisma.org/id/laeaei,http://pleiades.stoa.org/places/481891
http://nomisma.org/id/caura,http://pleiades.stoa.org/places/256086
http://nomisma.org/id/tralles,http://pleiades.stoa.org/places/599987
http://nomisma.org/id/caryanda,http://pleiades.stoa.org/places/599693
http://nomisma.org/id/madytus,http://pleiades.stoa.org/places/501503
http://nomisma.org/id/panticapaeum,http://pleiades.stoa.org/places/854719
http://nomisma.org/id/cidyessus,http://pleiades.stoa.org/places/609433
http://nomisma.org/id/byzantium,http://pleiades.stoa.org/places/520985
http://nomisma.org/id/dorylaeum,http://pleiades.stoa.org/places/609367
http://nomisma.org/id/tyre,http://pleiades.stoa.org/places/678437
http://nomisma.org/id/phalanna,http://pleiades.stoa.org/places/540992
http://nomisma.org/id/pholegandros,http://pleiades.stoa.org/places/589995
http://nomisma.org/id/mopsium,http://pleiades.stoa.org/places/540950
http://nomisma.org/id/morgantina,http://pleiades.stoa.org/places/462372
http://nomisma.org/id/ilium,http://pleiades.stoa.org/places/550595
http://nomisma.org/id/chalketor,http://pleiades.stoa.org/places/599569
http://nomisma.org/id/seleuceia_ad_tigrim,http://pleiades.stoa.org/places/894178
http://nomisma.org/id/orthosia_caria,http://pleiades.stoa.org/places/599839
http://nomisma.org/id/dium_syria,http://pleiades.stoa.org/places/682543
http://nomisma.org/id/clazomenae,http://pleiades.stoa.org/places/550651
http://nomisma.org/id/neapolis_campania,http://pleiades.stoa.org/places/433014
http://nomisma.org/id/perrhaebia,http://pleiades.stoa.org/places/541027
http://nomisma.org/id/cadyanda,http://pleiades.stoa.org/places/638885
http://nomisma.org/id/amphipolis,http://pleiades.stoa.org/places/501347
http://nomisma.org/id/amathus,http://pleiades.stoa.org/places/707462
http://nomisma.org/id/anthemusia,http://pleiades.stoa.org/places/658405
http://nomisma.org/id/serdaei,http://pleiades.stoa.org/places/452440
http://nomisma.org/id/achilleion,http://pleiades.stoa.org/places/550401
http://nomisma.org/id/neapolis_syria,http://pleiades.stoa.org/places/678301
http://nomisma.org/id/proconnesus,http://pleiades.stoa.org/places/511378
http://nomisma.org/id/zilis,http://pleiades.stoa.org/places/275744
http://nomisma.org/id/aluntium,http://pleiades.stoa.org/places/462228
http://nomisma.org/id/volaterrae,http://pleiades.stoa.org/places/403292
http://nomisma.org/id/mopsus,http://pleiades.stoa.org/places/658538
http://nomisma.org/id/ashdod,http://pleiades.stoa.org/places/687838
http://nomisma.org/id/aetna,http://pleiades.stoa.org/places/465922
http://nomisma.org/id/claudiopolis_bithynium,http://pleiades.stoa.org/places/844879
http://nomisma.org/id/chalcis,http://pleiades.stoa.org/places/540703
http://nomisma.org/id/edessa_macedon,http://pleiades.stoa.org/places/491585
http://nomisma.org/id/pandosia_bruttium,http://pleiades.stoa.org/places/442709
http://nomisma.org/id/compulteria,http://pleiades.stoa.org/places/432890
http://nomisma.org/id/syros,http://pleiades.stoa.org/places/590066
http://nomisma.org/id/abdera_thrace,http://pleiades.stoa.org/places/501323
http://nomisma.org/id/lysias,http://pleiades.stoa.org/places/614738
http://nomisma.org/id/pappa_tiberiopolis,http://pleiades.stoa.org/places/639038
http://nomisma.org/id/coropissus,http://pleiades.stoa.org/places/652347
http://nomisma.org/id/icus,http://pleiades.stoa.org/places/540835
http://nomisma.org/id/cyrene,http://pleiades.stoa.org/places/373778
http://nomisma.org/id/osicerda,http://pleiades.stoa.org/places/252224
http://nomisma.org/id/homolium,http://pleiades.stoa.org/places/540819
http://nomisma.org/id/olbia,http://pleiades.stoa.org/places/226546
http://nomisma.org/id/iaka,http://pleiades.stoa.org/places/246422
http://nomisma.org/id/eleutheropolis,http://pleiades.stoa.org/places/687854
http://nomisma.org/id/dodona,http://pleiades.stoa.org/places/530843
http://nomisma.org/id/treveri,http://pleiades.stoa.org/places/109390
http://nomisma.org/id/elaeus,http://pleiades.stoa.org/places/501411
http://nomisma.org/id/itanus,http://pleiades.stoa.org/places/589824
http://nomisma.org/id/thyrrheium,http://pleiades.stoa.org/places/531123
http://nomisma.org/id/verulamium,http://pleiades.stoa.org/places/79739
http://nomisma.org/id/astypalaea,http://pleiades.stoa.org/places/599536
http://nomisma.org/id/acerrae,http://pleiades.stoa.org/places/432621
http://nomisma.org/id/cosa,http://pleiades.stoa.org/places/413107
http://nomisma.org/id/hypaepa,http://pleiades.stoa.org/places/550585
http://nomisma.org/id/artacoana,http://pleiades.stoa.org/places/30211
http://nomisma.org/id/hyporum,http://pleiades.stoa.org/places/452338
http://nomisma.org/id/phoenice,http://pleiades.stoa.org/places/531061
http://nomisma.org/id/larissa_phriconis,http://pleiades.stoa.org/places/550683
http://nomisma.org/id/conana,http://pleiades.stoa.org/places/638813
http://nomisma.org/id/trebenna,http://pleiades.stoa.org/places/639151
http://nomisma.org/id/stratoniceia,http://pleiades.stoa.org/places/599947
http://nomisma.org/id/bolskan,http://pleiades.stoa.org/places/246539
http://nomisma.org/id/amyzon,http://pleiades.stoa.org/places/599489
http://nomisma.org/id/colone_messenia,http://pleiades.stoa.org/places/573296
http://nomisma.org/id/colone_troas,http://pleiades.stoa.org/places/550661
http://nomisma.org/id/messana,http://pleiades.stoa.org/places/462538
http://nomisma.org/id/rhegium,http://pleiades.stoa.org/places/452416
http://nomisma.org/id/singara,http://pleiades.stoa.org/places/874699
http://nomisma.org/id/phalasarna,http://pleiades.stoa.org/places/589989
http://nomisma.org/id/turiaso,http://pleiades.stoa.org/places/246712
http://nomisma.org/id/cybistra,http://pleiades.stoa.org/places/648614
http://nomisma.org/id/tomaris,http://pleiades.stoa.org/places/550938
http://nomisma.org/id/lyttus,http://pleiades.stoa.org/places/589918
http://nomisma.org/id/ilerda,http://pleiades.stoa.org/places/246431
http://nomisma.org/id/gyaros,http://pleiades.stoa.org/places/589797
http://nomisma.org/id/timbriada,http://pleiades.stoa.org/places/639144
http://nomisma.org/id/trajanopolis_phrygia,http://pleiades.stoa.org/places/609559
http://nomisma.org/id/imbros,http://pleiades.stoa.org/places/501438
http://nomisma.org/id/asine,http://pleiades.stoa.org/places/570125
http://nomisma.org/id/seleuceia_ad_calycadnum,http://pleiades.stoa.org/places/648771
http://nomisma.org/id/antissa,http://pleiades.stoa.org/places/550435
http://nomisma.org/id/antiocheia_ad_cragum,http://pleiades.stoa.org/places/648560
http://nomisma.org/id/euippe,http://pleiades.stoa.org/places/599614
http://nomisma.org/id/assorus,http://pleiades.stoa.org/places/462106
http://nomisma.org/id/argos_amphilochicum,http://pleiades.stoa.org/places/530809
http://nomisma.org/id/phellus,http://pleiades.stoa.org/places/639052
http://nomisma.org/id/tmolus_aureliopolis,http://pleiades.stoa.org/places/550936
http://nomisma.org/id/karaues,http://pleiades.stoa.org/places/252955
http://nomisma.org/id/populonia,http://pleiades.stoa.org/places/403212
http://nomisma.org/id/gorgippia,http://pleiades.stoa.org/places/825265
http://nomisma.org/id/pella_syria,http://pleiades.stoa.org/places/678326
http://nomisma.org/id/pessinus,http://pleiades.stoa.org/places/609500
http://nomisma.org/id/colybrassus,http://pleiades.stoa.org/places/638931
http://nomisma.org/id/antiphellus,http://pleiades.stoa.org/places/638749
http://nomisma.org/id/arpi,http://pleiades.stoa.org/places/442476
http://nomisma.org/id/nacona,http://pleiades.stoa.org/places/465958
http://nomisma.org/id/hierapolis_phrygia,http://pleiades.stoa.org/places/638860
http://nomisma.org/id/rhaucus,http://pleiades.stoa.org/places/590026
http://nomisma.org/id/laodiceia_ad_libanum,http://pleiades.stoa.org/places/668291
http://nomisma.org/id/corinth,http://pleiades.stoa.org/places/570182
http://nomisma.org/id/euboean_league,http://pleiades.stoa.org/places/579925
http://nomisma.org/id/polichna,http://pleiades.stoa.org/places/590000
http://nomisma.org/id/babba,http://pleiades.stoa.org/places/278602
http://nomisma.org/id/apamea_phrygiae,http://pleiades.stoa.org/places/638751
http://nomisma.org/id/las,http://pleiades.stoa.org/places/570417
http://nomisma.org/id/sarnoa,http://pleiades.stoa.org/places/484010
http://nomisma.org/id/aratikos,http://pleiades.stoa.org/places/246181
http://nomisma.org/id/tyras,http://pleiades.stoa.org/places/226800
http://nomisma.org/id/ticinum,http://pleiades.stoa.org/places/383798
http://nomisma.org/id/pheneus,http://pleiades.stoa.org/places/570595
http://nomisma.org/id/antiocheia_pisidia,http://pleiades.stoa.org/places/609307
http://nomisma.org/id/calymna,http://pleiades.stoa.org/places/599684
http://nomisma.org/id/capua,http://pleiades.stoa.org/places/432754
http://nomisma.org/id/rubi,http://pleiades.stoa.org/places/442751
http://nomisma.org/id/hadrianopolis_phrygia,http://pleiades.stoa.org/places/609397
http://nomisma.org/id/salamis_cyprus,http://pleiades.stoa.org/places/707617
http://nomisma.org/id/melita,http://pleiades.stoa.org/places/462310
http://nomisma.org/id/nisibis,http://pleiades.stoa.org/places/874623
http://nomisma.org/id/laerte,http://pleiades.stoa.org/places/648685
http://nomisma.org/id/avenio,http://pleiades.stoa.org/places/148004
http://nomisma.org/id/pogla,http://pleiades.stoa.org/places/639066
http://nomisma.org/id/melos,http://pleiades.stoa.org/places/570474
http://nomisma.org/id/astibus,http://pleiades.stoa.org/places/491530
http://nomisma.org/id/catana,http://pleiades.stoa.org/places/462270
http://nomisma.org/id/delphi,http://pleiades.stoa.org/places/540726
http://nomisma.org/id/philomelium,http://pleiades.stoa.org/places/609501
http://nomisma.org/id/thaliadae,http://pleiades.stoa.org/places/570716
http://nomisma.org/id/antiocheia_syria,http://pleiades.stoa.org/places/658381
http://nomisma.org/id/meliboea,http://pleiades.stoa.org/places/543784
http://nomisma.org/id/apollonia_mordiaeum,http://pleiades.stoa.org/places/638758
http://nomisma.org/id/aegae_achaea,http://pleiades.stoa.org/places/570040
http://nomisma.org/id/cascantum,http://pleiades.stoa.org/places/246301
http://nomisma.org/id/hierapolis_bambyce,http://pleiades.stoa.org/places/658480
http://nomisma.org/id/hamaxitus,http://pleiades.stoa.org/places/550565
http://nomisma.org/id/aradus,http://pleiades.stoa.org/places/668197
http://nomisma.org/id/asopus,http://pleiades.stoa.org/places/570129
http://nomisma.org/id/oba,http://pleiades.stoa.org/places/256340
http://nomisma.org/id/hephaestia,http://pleiades.stoa.org/places/550569
http://nomisma.org/id/lemnos,http://pleiades.stoa.org/places/550693
http://nomisma.org/id/cimissa,http://pleiades.stoa.org/places/465931
http://nomisma.org/id/calynda,http://pleiades.stoa.org/places/638891
http://nomisma.org/id/diospolis,http://pleiades.stoa.org/places/687953
http://nomisma.org/id/mogontiacum,http://pleiades.stoa.org/places/109169
http://nomisma.org/id/ophrynium,http://pleiades.stoa.org/places/550787
http://nomisma.org/id/carthage,http://pleiades.stoa.org/places/314921
http://nomisma.org/id/comana,http://pleiades.stoa.org/places/857095
http://nomisma.org/id/bargasa,http://pleiades.stoa.org/places/599548
http://nomisma.org/id/rome,http://pleiades.stoa.org/places/423025
http://nomisma.org/id/alba_fucens,http://pleiades.stoa.org/places/413005
http://nomisma.org/id/gaziura,http://pleiades.stoa.org/places/857134
http://nomisma.org/id/caelia,http://pleiades.stoa.org/places/442515
http://nomisma.org/id/oricus,http://pleiades.stoa.org/places/481939
http://nomisma.org/id/antiocheia_cebren,http://pleiades.stoa.org/places/550633
http://nomisma.org/id/segesta,http://pleiades.stoa.org/places/462487
http://nomisma.org/id/argos_argolis,http://pleiades.stoa.org/places/570106
http://nomisma.org/id/aegeae_cilicia,http://pleiades.stoa.org/places/658368
http://nomisma.org/id/eso,http://pleiades.stoa.org/places/252928
http://nomisma.org/id/bria,http://pleiades.stoa.org/places/614632
http://nomisma.org/id/zeugma,http://pleiades.stoa.org/places/658636
http://nomisma.org/id/cleonae,http://pleiades.stoa.org/places/570361
http://nomisma.org/id/tenos,http://pleiades.stoa.org/places/590073
http://nomisma.org/id/hadrumetum,http://pleiades.stoa.org/places/324716
http://nomisma.org/id/methylium,http://pleiades.stoa.org/places/543789
http://nomisma.org/id/neopolis,http://pleiades.stoa.org/places/462386
http://nomisma.org/id/lamponeia,http://pleiades.stoa.org/places/550678
http://nomisma.org/id/salapia,http://pleiades.stoa.org/places/442759
http://nomisma.org/id/theodosia,http://pleiades.stoa.org/places/854743
http://nomisma.org/id/salacia,http://pleiades.stoa.org/places/236635
http://nomisma.org/id/phocaea,http://pleiades.stoa.org/places/550823
http://nomisma.org/id/lappa,http://pleiades.stoa.org/places/589894
http://nomisma.org/id/naucratis,http://pleiades.stoa.org/places/727169
http://nomisma.org/id/lucus_augusti,http://pleiades.stoa.org/places/236525
http://nomisma.org/id/galepsus,http://pleiades.stoa.org/places/501422
http://nomisma.org/id/germanicia_caesareia,http://pleiades.stoa.org/places/658474
http://nomisma.org/id/epiphaneia_cilicia,http://pleiades.stoa.org/places/658556
http://nomisma.org/id/hippo_regius,http://pleiades.stoa.org/places/305090
http://nomisma.org/id/dicaea_thrace,http://pleiades.stoa.org/places/501399
http://nomisma.org/id/plarasa,http://pleiades.stoa.org/places/639063
http://nomisma.org/id/rhizos,http://pleiades.stoa.org/places/541085
http://nomisma.org/id/scotussa,http://pleiades.stoa.org/places/541107
http://nomisma.org/id/pella_macedon,http://pleiades.stoa.org/places/491687
http://nomisma.org/id/bailo,http://pleiades.stoa.org/places/256005
http://nomisma.org/id/nicopolis_seleucidis,http://pleiades.stoa.org/places/658547
http://nomisma.org/id/volsinii,http://pleiades.stoa.org/places/413389
http://nomisma.org/id/ravenna,http://pleiades.stoa.org/places/393480
http://nomisma.org/id/tuder,http://pleiades.stoa.org/places/413354
http://nomisma.org/id/alinda,http://pleiades.stoa.org/places/599480
http://nomisma.org/id/ieso,http://pleiades.stoa.org/places/246428
http://nomisma.org/id/daorsia,http://pleiades.stoa.org/places/197242
http://nomisma.org/id/athens,http://pleiades.stoa.org/places/579885
http://nomisma.org/id/stageira,http://pleiades.stoa.org/places/501625
http://nomisma.org/id/ebusus,http://pleiades.stoa.org/places/265883
http://nomisma.org/id/phanagoria,http://pleiades.stoa.org/places/854725
http://nomisma.org/id/hyria_calabria,http://pleiades.stoa.org/places/531025
http://nomisma.org/id/pincum,http://pleiades.stoa.org/places/207345
http://nomisma.org/id/pax_julia,http://pleiades.stoa.org/places/256358
http://nomisma.org/id/thyatira,http://pleiades.stoa.org/places/550924
http://nomisma.org/id/pharos,http://pleiades.stoa.org/places/197433
http://nomisma.org/id/ledon,http://pleiades.stoa.org/places/540908
http://nomisma.org/id/taras,http://pleiades.stoa.org/places/442810
http://nomisma.org/id/olynthus,http://pleiades.stoa.org/places/491678
http://nomisma.org/id/chersonesus_cariae,http://pleiades.stoa.org/places/599571
http://nomisma.org/id/iptuci,http://pleiades.stoa.org/places/256228
http://nomisma.org/id/alipheira-achaean_league,http://pleiades.stoa.org/places/570065
http://nomisma.org/id/hyria_campania,http://pleiades.stoa.org/places/438737
http://nomisma.org/id/salamis_attica,http://pleiades.stoa.org/places/580100
http://nomisma.org/id/ambracia,http://pleiades.stoa.org/places/530794
http://nomisma.org/id/myrlea,http://pleiades.stoa.org/places/511194
http://nomisma.org/id/euthenai,http://pleiades.stoa.org/places/599617
http://nomisma.org/id/axum,http://pleiades.stoa.org/places/39303
http://nomisma.org/id/beroea_macedon,http://pleiades.stoa.org/places/491546
http://nomisma.org/id/iasus,http://pleiades.stoa.org/places/599664
http://nomisma.org/id/dia,http://pleiades.stoa.org/places/844907
http://nomisma.org/id/olbasa,http://pleiades.stoa.org/places/639015
http://nomisma.org/id/blaundus,http://pleiades.stoa.org/places/609344
http://nomisma.org/id/flaviopolis,http://pleiades.stoa.org/places/658569
http://nomisma.org/id/constantinople,http://pleiades.stoa.org/places/520985
http://nomisma.org/id/demetrias_thessaly,http://pleiades.stoa.org/places/540730
http://nomisma.org/id/tenedos,http://pleiades.stoa.org/places/550911
http://nomisma.org/id/tyana,http://pleiades.stoa.org/places/648801
http://nomisma.org/id/fenseris,http://pleiades.stoa.org/places/438737
http://nomisma.org/id/lagbe,http://pleiades.stoa.org/places/638953
http://nomisma.org/id/cyrrhus,http://pleiades.stoa.org/places/658446
http://nomisma.org/id/nertobis,http://pleiades.stoa.org/places/252968
http://nomisma.org/id/nysa_scythopolis,http://pleiades.stoa.org/places/678378
http://nomisma.org/id/sebasteia_heracleopolis,http://pleiades.stoa.org/places/629076
http://nomisma.org/id/hatra,http://pleiades.stoa.org/places/894004
http://nomisma.org/id/hieropolis_castabala,http://pleiades.stoa.org/places/658481
http://nomisma.org/id/bura,http://pleiades.stoa.org/places/897749
http://nomisma.org/id/iliberi,http://pleiades.stoa.org/places/265921
http://nomisma.org/id/ostia,http://pleiades.stoa.org/places/422995
http://nomisma.org/id/aegina_aegina,http://pleiades.stoa.org/places/579853
http://nomisma.org/id/borneskon,http://pleiades.stoa.org/places/252942
http://nomisma.org/id/seteisken,http://pleiades.stoa.org/places/252985
http://nomisma.org/id/scamandria,http://pleiades.stoa.org/places/550888
http://nomisma.org/id/peiraeeus,http://pleiades.stoa.org/places/857024
http://nomisma.org/id/narbo,http://pleiades.stoa.org/places/246347
http://nomisma.org/id/emerita,http://pleiades.stoa.org/places/256155
http://nomisma.org/id/astacus_bithynia,http://pleiades.stoa.org/places/511169
http://nomisma.org/id/perge,http://pleiades.stoa.org/places/639048
http://nomisma.org/id/nicomedia,http://pleiades.stoa.org/places/511337
http://nomisma.org/id/stobi,http://pleiades.stoa.org/places/491731
http://nomisma.org/id/samos,http://pleiades.stoa.org/places/599925
http://nomisma.org/id/cestrus,http://pleiades.stoa.org/places/648665
http://nomisma.org/id/segovia,http://pleiades.stoa.org/places/236658
http://nomisma.org/id/zephyrium,http://pleiades.stoa.org/places/648810
http://nomisma.org/id/iltukoite,http://pleiades.stoa.org/places/252949
